artist_names,track_name
"Nakama, ΣP",DIA DELÍCIA
KAROL G,Ivonny Bonita
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Takedown
TWICE,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)"
aespa,Dirty Work
Beéle,si te pillara
PinkPantheress,Illegal
KATSEYE,Gameboy
Lorde,Shapeshifter
"Alex Warren, ROSÉ",On My Mind
"Disco Lines, Tinashe",No Broke Boys
TWICE,Strategy (from the Netflix film KPop Demon Hunters)
Natanael Cano,Blancanieves
Cris MJ,Vamo a Bailotear
Drake,What Did I Miss?
"Don Toliver, Doja Cat, F1 The Album",Lose My Mind (feat. Doja Cat) [From F1® The Movie]
"Natanael Cano, Gabito Ballesteros",Perlas Negras
Tito Double P,CORAZÓN PARTÍO
"Sefo, Demet Akalın",Yerinde Dur
Fleetwood Mac,The Chain - 2004 Remaster
"Veigh, Supernova Ent",Artista Genérico
Aditya Rikhari,Sahiba
Lynyrd Skynyrd,Sweet Home Alabama
BLACKPINK,JUMP
Justin Bieber,DAISIES
Justin Bieber,GO BABY
Justin Bieber,YUKON
Justin Bieber,ALL I CAN TAKE
Justin Bieber,THINGS YOU DO
Justin Bieber,WALKING AWAY
Justin Bieber,BUTTERFLIES
"Justin Bieber, Gunna",WAY IT IS
"Travis Scott, Don Toliver",CHAMPAIN & VACAY
Travis Scott,KICK OUT
TWICE,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG) (from the Netflix film KPop Demon Hunters)"
Travis Scott,DUMBO
"Justin Bieber, Dijon",DEVOTION
Justin Bieber,FIRST PLACE
Tito Double P,POR SUS BESOS
TWICE,THIS IS FOR
"Justin Bieber, Sexyy Red",SWEET SPOT
"Travis Scott, Sheck Wes, Don Toliver",2000 EXCURSION
"Justin Bieber, Cash Cobain, Eddie Benjamin",SWAG
"Travis Scott, Playboi Carti, Future",WHERE WAS YOU
Quevedo,TUCHAT
"Justin Bieber, Lil B",DADZ LOVE
Justin Bieber,GLORY VOICE MEMO
"Justin Bieber, Druski",SOULFUL
Rels B,TU VAS SIN (fav)
"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil","Saiyaara (From ""Saiyaara"")"
Alex Warren,Eternity
Bad Bunny,ALAMBRE PúA
"Tyler, The Creator, Pharrell Williams",Big Poe (feat. Sk8brd)
"Tyler, The Creator",Sugar On My Tongue
Black Sabbath,Paranoid - 2009 Remaster
"Tyler, The Creator",Ring Ring Ring
"Tyler, The Creator",Sucka Free
"Tyler, The Creator",Stop Playing With Me
"Tyler, The Creator, Yebba",I'll Take Care of You (feat. Yebba)
"Tyler, The Creator",Mommanem
"Tyler, The Creator, Madison McFerrin",Don't You Worry Baby (feat. Madison McFerrin)
"Tyler, The Creator",Don't Tap That Glass / Tweakin'
Ozzy Osbourne,Crazy Train
"WizTheMc, bees & honey",Take My Mind
Coldplay,Clocks
"Drake, Central Cee",Which One (feat. Central Cee)
Ozzy Osbourne,No More Tears
"Mithoon, Arijit Singh","Dhun (From ""Saiyaara"")"
"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Shreya Ghoshal, Irshad Kamil",Saiyaara Reprise - Female
Black Sabbath,Iron Man - 2009 Remaster
Ozzy Osbourne,"Mama, I'm Coming Home"
"Vishal Mishra, Hansika Pareek, Raj Shekhar","Tum Ho Toh (From ""Saiyaara"")"
Marino,Devil in Disguise
"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Irshad Kamil, Prashant Pandey","Humsafar (From ""Saiyaara"")"
"The Rish, Jubin Nautiyal","Barbaad (From ""Saiyaara"")"
sombr,12 to 12
Chappell Roan,The Subway
"Luis R Conriquez, Fuerza Regida, Neton Vega",Chula Vente
"Felipe Amorim, Vitão, BIN, Malibu",Eu Vou na Sua Casa
Kehlani,Folded
"Young Cister, Kreamly",QLOO*
"Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel",TABOLA BALE
"Omar Camacho, Victor Mendivil",2+2
Chino Pacas,OJITOS MENTIROSOS
"AP Dhillon, Shreya Ghoshal",Thodi Si Daaru
Pamungkas,Monolog
Nadhif Basalamah,bergema sampai selamanya
Shawn Mendes,There's Nothing Holdin' Me Back
Pierce The Veil,So Far So Fake
Ed Sheeran,A Little More
"MXZI, Dj Samir, DJ Javi26",MONTAGEM XONADA
"Justin Bieber, Chance the Rapper",Confident
.Feast,Tarot
Doja Cat,Jealous Type
Olivia Dean,Man I Need
Stray Kids,CEREMONY
Charlie Puth,Attention
Laufey,From The Start
Olivia Dean,Nice To Each Other
BLOK3,git
Lana Del Rey,Cinnamon Girl
Sabrina Carpenter,Tears
Sabrina Carpenter,My Man on Willpower
Sabrina Carpenter,Nobody’s Son
Sabrina Carpenter,When Did You Get Hot?
Sabrina Carpenter,Sugar Talking
Sabrina Carpenter,Go Go Juice
Sabrina Carpenter,House Tour
Sabrina Carpenter,Goodbye
Sabrina Carpenter,We Almost Broke Up Again Last Night
Sabrina Carpenter,Never Getting Laid
Sabrina Carpenter,Don’t Worry I’ll Make You Worry
"Karan Aujla, Ikky",For A Reason
"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)"
The 1975,About You
Lady Gaga,The Dead Dance
Junior H,MIENTRAS DUERMES
The Marías,Sienna
Justin Bieber,LOVE SONG
Poizi,PERDE
"Jere Klein, Katteyes, Mateo on the Beatz",TODO KE VER
"T-Pain, B.o.B",Up Down (Do This All Day) (feat. B.o.B)
Justin Bieber,SPEED DEMON
Radiohead,No Surprises
"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",Saiyaara
"Easykid, Dysbit",Shiny
Twenty One Pilots,City Walls
Ed Sheeran,Camera
"Drake, Julia Wolf, Yeat",DOG HOUSE (feat. Julia Wolf & Yeat)
RAYE,WHERE IS MY HUSBAND!
Kenshi Yonezu,IRIS OUT
Taylor Swift,Dress
Rihanna,Where Have You Been
Tate McRae,TIT FOR TAT
Olivia Dean,So Easy (To Fall In Love)
Tame Impala,Dracula
"Tkandz, CXSPER",NOW OR NEVER
Doja Cat,Gorgeous
Rihanna,Only Girl (In The World)
Rihanna,Don't Stop The Music
Taylor Swift,The Fate of Ophelia
Taylor Swift,Opalite
Taylor Swift,Elizabeth Taylor
Taylor Swift,Father Figure
Taylor Swift,Wood
Taylor Swift,Actually Romantic
Taylor Swift,CANCELLED!
Taylor Swift,Wi$h Li$t
"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter)
Taylor Swift,Eldest Daughter
Taylor Swift,Ruin The Friendship
Taylor Swift,Honey
"Rizky Febian, Adrian Khalif",Alamak
Victor Mendivil,Orula
Tame Impala,The Less I Know The Better
Daniel Caesar,Superpowers
"PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito",SEQUÊNCIA FEITICEIRA
Mazzy Star,Fade Into You
"JISOO, ZAYN",EYES CLOSED (with ZAYN)
Sam Smith,I'm Not The Only One
Joji,PIXELATED KISSES
"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores
Tame Impala,My Old Ways
Joji,SLOW DANCING IN THE DARK
"El Bogueto, Yung Beef",Cuando No Era Cantante
Kid Cudi,Maui Wowie
"Justin Timberlake, Timbaland",SexyBack (feat. Timbaland)
"Justin Bieber, Nicki Minaj",Beauty And A Beat
"LE SSERAFIM, j-hope",SPAGHETTI
"UZI, Motive",Şarkılar Sokaklara Ait
"ROSALÍA, Björk, Yves Tumor",Berghain
"Dave, Tems",Raindance (feat. Tems)
"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",ME POSTOU NO DAILY - FESTA DO BIG G
Madison Beer,bittersweet
Ray Parker Jr.,"Ghostbusters - from the ""Ghostbusters"" Original Motion Picture Soundtrack"
Lady Gaga,Bloody Mary
"ROSALÍA, Yahritza Y Su Esencia",La Perla
"Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66"
ROSALÍA,Reliquia
ROSALÍA,"Sexo, Violencia y Llantas"
ROSALÍA,Divinize
"ROSALÍA, Dougie F",Porcelana
ROSALÍA,Dios Es Un Stalker
Joji,Past Won't Leave My Bed
ROSALÍA,Mio Cristo Piange Diamanti
ROSALÍA,La Yugular
ROSALÍA,De Madrugá
"Talwiinder, NDS, Rippy Grewal",Haseen
ROSALÍA,Mundo Nuevo
"ROSALÍA, Estrella Morente, Sílvia Pérez Cruz",La Rumba Del Perdón
ROSALÍA,Sauvignon Blanc
4 Non Blondes,What's Up?
ROSALÍA,Magnolias
Ariana Grande,Into You
Michael Jackson,Beat It
Tyla,CHANEL
"EsDeeKid, Rico Ace",Phantom
NF,FEAR
Olivia Dean,A Couple Minutes
Fuerza Regida,CHAVALITAS
Zara Larsson,Lush Life
Metallica,Enter Sandman - Remastered 2021
Neton Vega,Pvta Luna
"Eminem, Rihanna",Love The Way You Lie
Olivia Dean,Baby Steps
Olivia Dean,Let Alone The One You Love
Tate McRae,NOBODY'S GIRL
Stray Kids,Do It
Tate McRae,ANYTHING BUT LOVE
Tate McRae,TRYING ON SHOES
"Cynthia Erivo, Ariana Grande",For Good
"Peso Pluma, Tito Double P",intro
Daniel Caesar,Who Knows
Herencia De Grandes,Ya Borracho
Stray Kids,DIVINE
"HAVEN., Kaitlin Aragon",I Run
Cynthia Erivo,No Good Deed
EsDeeKid,4 Raws
Olivia Dean,Dive
Hindia,everything u are
Chris Grey,LET THE WORLD BURN
BLOK3,KUSURA BAKMA
Kate Bush,Running Up That Hill (A Deal With God)
Idgitaf,Sedia Aku Sebelum Hujan
Laufey,Winter Wonderland
ILLIT,NOT CUTE ANYMORE
She & Him,I Thought I Saw Your Face Today
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix
Flipperachi,FA9LA
"Kato, Jon",Turn The Lights Off (feat. Jon)
SIENNA SPIRO,Die On This Hill
"21 Savage, Drake",MR RECOUP
"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan","Dhurandhar - Title Track (From ""Dhurandhar"")"
Michael Bublé,Christmas (Baby Please Come Home)
Fall Out Boy,It Feels Like Christmas (Spotify Singles Holiday)
"Michael Bublé, Shania Twain",White Christmas (with Shania Twain)
"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan","Gehra Hua (From ""Dhurandhar"")"
Cher,DJ Play A Christmas Song
Ravyn Lenae,O Holy Night - Spotify Singles Holiday
Vitinho Imperador,Eu Me Apaixonei
Bryan Adams,Christmas Time
Melanie Thornton,Wonderful Dream (Holidays Are Coming) - Radio Version
Bleachers,"Merry Christmas, Please Don't Call"
Michael Bublé,I'll Be Home for Christmas
Michael Bublé,Have Yourself a Merry Little Christmas
"John Legend, Stevie Wonder",What Christmas Means to Me (feat. Stevie Wonder)
"Peso Pluma, Tito Double P",dopamina
"Peso Pluma, Tito Double P",bckpckbyz
"Peso Pluma, Tito Double P",ni pedo
"Peso Pluma, Tito Double P",daño
"Peso Pluma, Tito Double P",7-3
"PEDRO SAMPAIO, MC Meno K, Melody",JETSKI
"Disney, Shakira",Zoo
The Clash,Should I Stay or Should I Go - Remastered
"Grupo Menos É Mais, NATTAN",Pela Última Vez - Ao Vivo
"Peso Pluma, Tito Double P",putielegante
"Panda, MJ Records",Eu Te Seguro - Ao Vivo
